QUALIFICATION,SEGMENT,CATEGORY,SUB CATEGORY
ACA,DIPLOMA,SCIENCE,ENGINEERING
ADBM,DIPLOMA,OTHERS,OTHERS
Advanced Certificate In Software Engineering,BACHELORS,SCIENCE,ENGINEERING
Advanced Diploma In Business Administration,DIPLOMA,COMMERCE,MANAGEMENT
AMFI Mutual Fund Certification,CERTIFICATE,CERTIFICATE,CERTIFICATE
B A,BACHELORS,ARTS,ARTS
B Com,BACHELORS,COMMERCE,COMMERCE
B Sc,BACHELORS,SCIENCE,ENGINEERING
B Tech,BACHELORS,SCIENCE,ENGINEERING
B.Ed,BACHELORS,ARTS,ARTS
B.Sc IT,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Arts,BACHELORS,ARTS,ARTS
Bachelor in Business Administration,BACHELORS,COMMERCE,MANAGEMENT
Bachelor in Business Management,BACHELORS,COMMERCE,MANAGEMENT
Bachelor in Business Studies,BACHELORS,COMMERCE,MANAGEMENT
Bachelor in Commerce,BACHELORS,COMMERCE,COMMERCE
Bachelor in Computer Aided Management,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Computer Application,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Computer Science,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Corporate Secretaryship,BACHELORS,COMMERCE,MANAGEMENT
Bachelor in Education,BACHELORS,BACHELORS,BACHELORS
Bachelor in Engineering,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Home Science,BACHELORS,ARTS,ARTS
Bachelor in Hotel Management,BACHELORS,ARTS,HOTEL MANAGEMENT
Bachelor in Information Technology,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Journalism & Mass Communcation,BACHELORS,ARTS,MASS MEDIA
Bachelor in Law,BACHELORS,COMMERCE,LAW
Bachelor in Management & Information Technology,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Management Studies,BACHELORS,COMMERCE,MANAGEMENT
Bachelor in Pharmacy,BACHELORS,SCIENCE,PHARMACEUTICALS
Bachelor in Physical Education,BACHELORS,SCIENCE,PHARMACEUTICALS
Bachelor in Physiotherapy,BACHELORS,SCIENCE,PHARMACEUTICALS
Bachelor in Science,BACHELORS,SCIENCE,SCIENCE
Bachelor in Social Work,BACHELORS,ARTS,SOCIAL
Bachelor in Socio-Legal Science,BACHELORS,COMMERCE,LAW
Bachelor in Technology,BACHELORS,SCIENCE,ENGINEERING
Bachelor in Textiles,BACHELORS,ARTS,TEXTILE
