Source Type,SOURCE
Placement Agency,PLACEMENT AGENCY
Referral,REFERENCE
Local recruitment cell,KOTAK HR CALLS
Kotak HR Calls,KOTAK HR CALLS
LRC / CRC,KOTAK HR CALLS
Direct,DIRECT
Campus,CAMPUS
Kotak CRC,KOTAK HR CALLS
Referral - TL,REFERENCE
LA to AM,REFERENCE
Others,OTHERS
Advertisment,ADVERTISMENT
LA to SM,REFERENCE
Ex- Employee Rehire,EX- EMPLOYEE REHIRE
Emp ref (Tainer) Mr. Sparsh Mahesh Dwivedi OM41322 ,REFERENCE
LRC/CRC,KOTAK HR CALLS
Others ,OTHERS
Referral-BRDM,REFERENCE
ABM/BRDM Referral,REFERENCE
Referral-Employee,REFERENCE
Referral-BRDM/ABM,REFERENCE
Referral-TL,REFERENCE
Referral-ABM/BRDM,REFERENCE
Referral-BRDM ,REFERENCE
Referral- BRDM,REFERENCE
Referral- BM,REFERENCE
Referral-BM/DM,REFERENCE
Referral-DM,REFERENCE
Refferal,REFERENCE
Referral-ABM,REFERENCE
Refferral Employee,REFERENCE
NA,NA
Newspaper AD,ADVERTISMENT
Ex Employee,EX EMPLOYEE
Advertisement,ADVERTISEMENT
Walk In,DIRECT
